春风梳柳燕裁锦 秋雨点芦蛙弄声
一晌登临属有缘. 周雅庆攸宁,长宜茀禄；
箕畴徵曰寿,递演京垓. 百福屏开,庆叶九如宏寿域；
五云丽景,恩敷万象入春台. 芝栋云霞丽；
兰陔日月长. 庆霄辉寿曜；
仙圃丽春光. 钧庭延淑景；
璇戺蔼祥风. 洪范演畴征备福；
黄钟肇律叶长生. 凤翥辉呈阿阁瑞；
珠联景绘泰阶符. 红梅翠竹天然画；
妙理清机不尽吟. 图畴递演京垓积；
律吕环生上下和. 宜春苑满恒春树；
介寿筵开益寿花. 静里远怀千古事；
意中常满十分春. 寿国乐舒长,韶成九奏；
安舆承悦豫,舞效三呼. 香扆引祥风,序符清晏；
仙壶承爱日,景叶升恒. 宝篆长生箓；
瑶屏集瑞图. 西池增宝箓；
南极耀珠躔. 鸣豫叶云韶,颂集九如开寿域；
祝釐陈彩舞,欢联万象谱春台. 右文典重,云汉仰昭回.
克践厥猷,聪听祖考之彝训 无斁康事,先知稼穑之艰难.
一编金鉴怀无逸 五夜铜签警未央.
午夜端居钦曰旦 寅衷昭事格维馨.
蠲吉致敬先三日 昵格维诚矢一心.
一念纯诚昭格本 万缘清静旦明中.
洗心宥密钦羲传 致德精明禀礼经.
皓月空悬心镜朗 妙云拥抱智珠圆.
慎独谨几,旦明怀帝载 思艰图易,宵旰念民依.
三秀草呈云焕彩 万年枝茂露香凝.
红日初升,万户祥云临覆道 青阳乍转,九天佳气蔽重楼.
黄道承祥,八表星环紫阙 青阳布泽,三阶日丽丹霄.
瑞雪霁南山,寒收玉宇 条风嘘北斗,春满金瓯.
篆袅猊炉知日永 风清虬漏报春深.
颂启椒花,百子池边日暖 觞浮柏叶,万年枝上春晴.
蜃窗日朗兰喷雾 雏树风轻玉霭春.
书圃礼园无斁好 瓯香研净有余欣.
古香披拂图书润 元气冲融物象和.
春纪八千,和风翔寿宇 皇居九五,香露霭仙宫.
紫禁迎春,瑞拂千条御柳 丹楼映日,祥开万树宫花.
深心托毫素 怀抱观古今.
玉堂迎燕喜 金谷振麟祥.
梅报平安信 鸟传如意春.
情将物外适 道与古人期.
无不可过去之事 有自然相知之人.
书圃礼园无斁好 瓯香研净有余清.
共欣穹宇中秋月 都作增龄海宝筹.
修身先谨懔幽独 读书在培养才源.
座右图书娱画景 庭前松柏蕴春风.
乐同乐而寿同寿 智见智而仁见仁.
土香阶草才苏纽 风细盆梅欲放花.
动静得其宜,取义异他德寿 性情随所适,循名同我清漪.
乐惟四时适 寿与万方同.
心触清机亲翰墨 目游润景足精神.
成阴乔木天然爽 过雨闲花自在香.
鸟吟花笑有余乐 月白风清无尽藏.
波含素影澄心镜 鱼耀清渊识道机.
闲披芸简窗前朗 静听松风户外敲.
亭台总是长生殿 鹤鹿皆成不老仙.
夏鼎商彝共左右 墨华笔露永新鲜.
笼庭水树宜凉影 匝砌烟花带露姿.
智仁适会动还静 枕葄无非史与书.
智水仁山从体道 奇花瑞草总含芬.
智者乐兼仁者寿 月真庆共雪真祥.
庭绕芳毯铺生意 座有芸编结古欢.
每闻善事心先喜 或见奇书辄手抄.
宝荚叶仙椿,亿龄延趾 泰阶照景曜,九服均禧.
黄道开天,东壁琛阁辉玉宇 紫宸日丽,西山爽气映瑶阶.
荟萃得殊观,象阐先天生一 静深知有本,理赅太极涵三.
壁府古含今,藉以学资主敬 纶扉名副实,讵惟目仿崇文.
锦座凝香,花敷春苑丽 晴窗挹翠,霞带晓屏舒.
丽日和风春澹荡 花香鸟语物昭苏.
雪朗西山送寒色 花辉东壁发生馨.
具神通力 生欢喜心.
善果皆欢喜 香云普吉祥.
三身具足根尘外 万法齐归愿海中.
花布妙香霏四种 金涂杰阁观诸天.
青莲法界普清净 白毫相光离色空.
灵鹫风香传妙偈 澄潭月皎印如真.
妙会梵香三界上 实参定印四天中.
宝界现庄严,云凝华鬘 香台开般若,雨散曼陀.
般若慈源,远通华海汇 菩提觉路,妙转法轮圆.
七宝共庄严,金光高映 四花纷拥卫,香雨浓霏.
妙果圆成,华海同归无尽藏 灵因净证,珠宫常雨四时花.
证最胜因,金界庄严欢喜地 赞无量寿,宝轮拥护吉祥云.
琅璈逸韵应嵩乎,久矣八方从律 阊阖晴光凝嶰吹,康哉九叙惟歌.
画情八窗纳 春意百花舒.
清风明月含无尽 近景遐观揽莫遗.
云卧天窥无不可 风清月白致多佳.
居中揽外襟怀畅 系毂摩肩职植殷.
俯临常似披图画 得契宛堪悦性灵.
绿树岩前疏复密 白云窗外卷还舒.
鸟雀听经皆宿慧 风旛说偈自高标.
樽饮康衢,风雨和甘均六幕 弦调宝琴,星云景庆亘三阶.
芝篆薰晨鼎 莲檠检夜书.
闲情空外寄 妙道个中参.
日长莲漏三阶正 春到梅花合殿香.
开窗鱼鸟含天趣 欹案诗书味道腴.
插架牙签照今古 开编芸气吐芬芳.
澄怀观物真超矣 得意忘言亦快哉.
一龛古佛钟鱼寂 半榻天风衣袂寒.
四壁图书鉴今古 一庭花木验农桑.
春鸟有言率和乐 上林无树不森沉.
明月秋风无尽藏 长楸古柏是佳朋.
高居因见远 贞复会旋元.
闲庭不改风还月 欹案依然易与诗.
金界楼台思训画 碧城鸾鹤义山诗.
四围应接真无睱 一晌登临属有余.
便有香风吹左右 似闻了义示缘因.
素壁题诗还自检 明窗披帙雅相亲.
三阶共极,图呈益地迓新棋. 甄性神明境；
陶情翰墨筵. 禽音仍唱迦陵偈；
花色全标幻海禅. 洗不期其筝笛耳；
悦原契此净明心. 春物薰馨含慧业；
名禽宛转入闻思. 流水今日；
明月前身. 松云清栋牗；
书契洽嫏嬛. 偶披风送爽；
恰傍竹延虚. 轩亭喜淳朴；
瓯砚总清嘉. 鼎篆兰烟直；
窗含旭景新. 心田净洗全如水；
鼻观清分讵必莲. 信可超绘事；
于焉悦性灵. 春秋富佳日；
松竹葆长年. 动趣都涵澹；
静机常觉宁. 当春莲带水；
坐久蕙烟微. 经书趣有永；
翰墨乐无穷. 屏山镜水皆真縡；
萝月松风合静观. 墨斗砚山足遣逸；
琪花瑶草底须妍. 生意无边,奏曲文禽皆玉琯；
真机可挹,交枝仙萼拥金铃. 静泰怡神,瑞霭光辉临黼扆；
冲融契道,祥风蔼吉畅文轩. 庆烟糺缦笼青琐；
淑景和訚丽紫宸. 随时自适天倪协；
即事多欣道味涵. 境是天然嬴绘画；
趣含理要入精微. 静延佳日春常盎；
茂对祥风景总宜. 景清神谧天常泰；
水趣山情静可论. 趣为永哉畅外俗；
乐惟仁者寄于山. 乐在人和,肯寄高闲规宋殿；
寿同民庆,为申尊养托潘园. 一代典章垂涣汗；
万年法守仰都俞. 千年金鉴长留,插架宝书资政要；
寸晷铜仪恒惜,掞笺妙蕴发几余. 天宠遥颁青琐客；
国恩重溢紫泥封. 玉宇中朝资珥笔；
金瓯亿载庆垂衣. 圣德醍醐,花涤红药省；
帝光糺缦,日丽紫微天. 风奏南薰调玉轸；
霞悬东壁灿瑶图. 琼枝春意足；
缥帙古香多. 九天淑景凝新旭；
三殿晴光接彩霞. 有秋历览登三辅；
旰食惟期协九经. 亦曰钦哉贯谟典；
允惟难矣作君师. 独喜惜阴澄静照；
更因稽古契遐心. 立身以至诚为本；
读书以明理为先. 念终始典于学；
于缉熙卑厥心. 北斗回枢,紫气迎祥双阙晓；
东风入律,彤云献瑞五门春. 乾坤徵合德；
日月耀重光. 七宝庄严开玉镜；
万年福寿护金瓯. 九陌红尘飞不到；
十洲青气晓来多. 交泰三阳肇羲象；
敛时五福协箕畴. 吉云垂大地；
慈镜昭诸天. 香蔼绮疏,惠圃敷荣滋湛露；
风清釦砌,芝房擢秀映长春. 流水如有意；
高云共此心. 湘管摛新会；
芸编发古香. 山水之间发清响；
古代以上多同人. 四序调和怀育物；
万几清暇爱摊书. 地学蓬壶心自远；
身依泉石兴偏幽. 吟情远寄青瑶障；
悟境微参宝篆香. 闲为水竹云山主；
静得风花雪月权. 奇石尽含千古秀；
好花长占四时春. 拂槛露浓晴树湿；
卷帘风细落花香. 智珠不断恒河界；
明镜长悬兜率边. 瑶阶鹤绕三株树；
玉宇鸾鸣九子铃. 绿水亭前罗带绕；
碧山窗外画屏开. 玉砌风清,五色祥光连栋宇；
铜鉴昼静,四时佳气集蓬壶. 春蔼帘栊,氤氲观物妙；
香浮几案,潇洒畅天和. 燕贺莺迁,乐意相关禽对语；
兰芽桂蕊,生香不断树交花. 青莲法界本清静；
白毫相光常满圆. 转谛在语言而外；
悟机得真实之中. 昼永花香醺似醉；
雨收天色碧于兰. 牙签披古鉴；
香篆引澄怀. 轩墀绕秀润；
书史足吟哦. 看花生意蕊；
听雨发言泉. 味道研精义；
随时爱景光. 素心悦澹泊；
胜托惟静虚. 窗意包涵画；
天容酝酿春. 参得王蒙皴法；
写将杜甫诗情. 与物皆春,花木四时呈丽景；
抗心希古,图书万轴引清机. 墨壶琴荐相先后；
旧咏新裁自品评. 兰殿蔼晴晖,炉烟结翠；
芝宫呈秀采,砌草舒芳. 雨润湘帘,苑外青峦飞秀；
风披锦幕,阶前红药翻香. 十二灵文传宝炬；
三千净土荫慈云. 芰荷香绕垂鞭袖；
杨柳风微弄笛船. 篆袅金炉,入座和风初送暖；
花迎玉佩,映阶芳草自生荣. 莲花贝叶因心见；
忍草禅枝到处生. 满字一如心得月；
梵言半偈舌生莲. 四壁图书饶古色；
重帘烟篆挹清芬. 赏心于此遇；
即事多所欣. 白雪有古调；
青山无俗缘. 屏展烟鬟,云鹤闲看心共远；
座凝香篆,风松静觉韵偏清. 古训手披勤,每竞寸阴求日益；
民依心默运,常先万姓祝年丰. 花香鸟语群生乐；
月霁风清造物心. 澄心待万几；
恭己奉三元. 自喜轩窗无俗物；
聊将山水寄清音. 瑞景琼楼开锦绣；
欢声珠阁奏云韶. 绿绮琴弹白雪引；
乌丝绢写黄庭经. 思庶政惟和,不敢自逸；
由旧典时式,其永无愆. 写诚敬之心,礼章乐亮；
绘恬熙之象,日丽风和. 清燕凝神,天和闲处养；
从容守正,元化静中涵. 生机对物观其妙；
义府因心获所宁. 天倪超万象；
神气领三元. 敬顺禔躬吉；
温恭受福宜. 华海澄明,性源离色相；
法铃朗彻,觉地了声闻. 致虚涵白室；
式古凛丹书. 璚云晓护苍龙阙；
玉斗春回紫凤城. 星转璇杓,光映卿云五色；
春回玉琯,祥开彩胜千枝. 花初经雨红犹浅；
树欲成阴绿渐稠. 树将暖旭轻笼牗；
花与香风并入帘. 东壁焕图书,琳琅满目；
西清瞻典册,经纬从心. 休道鸢鱼看活泼；
清闲书史挹菁英. 心迹只今偏爱澹；
诗情到此合添幽. 古香研道秘；
新藻发春妍. 一室虚生无限白；
四时不改总常青. 四季风光无尽藏；
百城古帙有余馨. 开洙泗新传,圣由天纵；
集唐虞道统,德合时中. 景运舒长,天上庆云环紫极；
太和翔洽,日边甘露湛瑶墀. 左右图书,静中涵道妙；
春秋风月,佳处得天和. 五色云英滋秀草；
千年露实熟蟠桃. 神鼎上方调六膳；
宫壶春色酿三浆. 画栋凝熙,东望摄提辉晓日；
彤庭延景,北临棨戟动朝光. 上天垂衣明藻火；
日边珥笔颂星云. 庭有余秀,谢草郑兰燕桂树；
家无别况,唐诗晋字汉文章. 学未到孔孟门墙,须努力趱行几步；
做不尽家庭事业,且开怀丢在一边. 无言妙化资元始；
不己神功运穆清. 颂启椒花,百子池边日暖；
觞浮柏叶,万年枝上春晴. 常切单心归宥密；
每怀敕命凛几康. 玉宇近高寒,栏凭十二；
庆霄增朗彻,界俯三千. 烟云舒卷揽胜赏；
松石古澹怡远情. 风物似登瀛,景呈瑶岛；
云山疑罨画,影漾金波. 写影水中央,百川同印；
澄辉天尺五,一镜常悬. 心澹水木秀；
兴幽鱼鸟闲. 风篁叶韶濩；
云树霭蓬壶. 闲云入窗牗；
清露滴梧桐. 亭台涵明镜；
花木畅天机. 精一遂成千古治；
执中业裕万年基. 于此间少得佳趣；
亦足以畅叙幽情. 炉香昼静芸编展；
花海春深竹槛清. 彝训念诒谋,本支百世；
仙源长笃庆,华萼一堂. 了悟彻声闻,花拈妙谛；
净因空色相,月印心明. 旭日光临,锦屏开百福；
彩云辉映,金镜烛三台. 松栋焕云彩,瑞图丽景；
蓬壶开日月,仁境长年. 五色云英,瑶阶滋秀草；
千年露实,玉戺献蟠桃. 凤苑驻华光,春涵瑞露；
龙池迎柳色,晴护祥云. 瑞勰珠纏,琼宫辉紫气；
祥凝玉陛,璇玑拱丹枢. 玉箫金管升平世；
旭日和风瑞应图. 地近青阳分左个；
天开丹阙矗中霄. 益疆曾献延年玉；
戬谷同赓介寿觞. 雉尾烟明,三霄扬丽地；
螭头香功,万字篆祥云. 祝华和嵩,祥图随地奏；
曼寿安世,嘉祉自天申. 晓日丽龙楼,葱茏苑树；
卿云笼鹤籞,唵沾宫花. 两阶干羽钦虞典；
六律宫商奏采薇. 干羽两阶崇礼乐；
车书万里集冠裳. 天衢翊运风云会；
策府铭勋日月光. 乍雨乍晴春事妤；
宜诗宜画物华殊. 玉水涵波远；
琼枝浥露荣. 彝训念贻谋,本枝百世；
仙源长笃庆,华萼一堂. 榴花照耀菖蒲岸；
竹影扶疏翡翠亭. 万福屏中春永茂；
千年枝上日重光. 金猊霭入瑶编润；
玉树花均蔀屋香. 翠合三山连阆苑；
波涵一境俨蓬瀛. 拟景真无境；
会心迥不同. 千里春山重叠翠；
一溪寒水浅深青. 千叠云峰空外迥；
三农雨露望中深. 日移帘影临书案；
风飐瓶花入砚池. 龙尾楼台迎晓日；
鳌头宫殿入云霄. 体物岂缘夸丽藻；
抚时端藉励雄心. 风前古涧琴三叠；
雪后群山玉四围. 细草如茵栽药地；
软云似絮养花天. 点缀云峰留玉宇；
参差水榭引朱船. 益寿延和昭福景；
登祥荐祉颂清时. 窗通碧水苍山外；
人在光风霁月间. 心田喜色良先玉；
鼻观真香不数兰. 偶在参天一；
闲凭味道腴. 绕庭数竹生新事；
解带量松长旧围. 倚石疏篁斜见屋；
俯池老树曲成桥. 冰谷银沙,山楼石柱；
琼池玉壁,珠岫瑰岑. 鸢飞鱼跃天机锦；
秋月春风大块章. 干羽两阶崇礼乐；
车书万里集冠裳. 宫商之外有神解；
律吕以来无是过. 境静趣无穷,鱼跃鸢飞同活泼；
水流机不息,瀑淙雪净总鲜新. 秋月春风常得句；
山容水态自成图. 道堪因契真佳矣；
画岂能工有是夫. 众皱峰如能变化；
太空云与作沉浮. 自是林泉多蕴藉；
依然书史得周旋. 佳兴四时同,图呈苑里；
清光千里共,鉴彻池心. 体物岂缘誇丽藻；
抚时端藉励雄心. 远翠霭晴岚,四山图画；
清风生爽籁,万竹笙竽. 云中月影临瑶幌；
雨后山光入绮帘. 是玉宇琼楼,云阶月地；
有白麟奇术,宝鼎芝房. 览动植飞潜,万物并育；
叙雨旸寒燠,四序皆春. 月地云阶,别向华林开静境；
屏山镜水,时从芳径探幽踪. 水中楼阁浮青岛；
天上笙歌绕碧城. 远翠霭晴岚,四山图画；
清风生爽籁,万竹笙竽. 每因物表延遥寄；
似与天游得静陶. 雉扇排云,花红鸣剑佩；
莺簧送暖,柳绿拂旌旗. 胜赏寄云岩,万象总输奇秀；
清阴留竹柏,四时不改茏葱. 云从闲处有余姿.
鸢飞鱼跃天机锦 秋月春风大块章.
春泉石罅淙声细 新竹风前弄影娑.
禽鱼杂歌传户外 箖箊爽籁下云标.
夏屋畅清吟风篁半岭 春城通晓望烟树万家.
几群鸾鹤随吟管 四面芙蓉入绿纱.
积素坠枝全作雨 悬流落涧半成冰.
烟景满前供妙墨 芳洲随处引清游.
即时既多美 托好常有因.
润浥云霞气 真参泉石灵.
晓露兰陔外 香风禾陇间.
五柞芳敷瞻美景 百花齐荫祝年丰.
圆峤方壶资茂对 和风甘雨兆绥风.
献寿绯桃荣汉苑 迎釐翠荚映尧阶.
斗极一星看若月 矞云五色望非烟.
四围红锦芳风暖 满地绿阴春昼长.
日耀琎台明桂苑 云开珠阁俯蓬瀛.
兰有国香清益远 松如人寿老逾坚.
萦回水抱中和气 平远山如蕴藉人.
林薄浓阴藏别院 汀州新水涨前津.
观稼祈年,黄茂入秋应有喜 披章台对,翠华拂暑不应来.
昼永花香醺似醉 雨收天色碧于蓝.
舒卷天真任岚霭 飞沉自得乐禽鱼.
庭松不改青葱色 盆菊仍霏清静香.
清阳欲凌霄汉上 远意自在山水间.
摩空野鹤养真性 绕壑风泉清道心.
松烟冲翠幄 云径绕花源.
澹荡青阳盎 棼煴瑞旭舒.
地高游目远 云敛骋怀宽.
鸟吟花笑有余乐 月白风清无尽藏.
闲庭不改风还月 欹案依然易与诗.
庭饶芳毯铺生意 院有芸编结古欢.
商鼎周彝自典重 槛葩苑树相芬芳.
清阴欲凌霄汉上 远意自在山水间.
闲寻绮思千花丽 静想高岑六义清.
景深孚甲含胎际 春在人心物性间.
心天之心,而霄衣旰食 乐民之乐,以和性怡情.
相与明月清风际 只在高山流水间.
画图参生动 诗书阅古芳.
亭台涵月镜 花木畅天机.
写楹常看霞生际 对坐宛当月上时.
半奁绿水菱花对 一帧青山画幅横.
柳荫分绿笼琴几 花片飞红入镜屏.
会心多野趣 契理谢言诠.
景向淡中宜藻缋 山从老处见精神.
古树当庭直 天花满座馨.
尘祛滋意蕊 闻复发心香.
辨见还参柏 徵心欲剥焦.
万象证圆通,金轮妙转 三乘皈定慧,华海长涵.
松风谡诗意 水月空禅心.
花宫俱见严而妙 别室还饶静且佳.
境诣幽惟却藻缋 水澄波处养天真.
花香鸟语无边乐 近景遐观取次拈.
